run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
49,721,722,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.5070067831926492,0.27261290899726,0.2251326877271874,0.0568038891782684,0.0283393283440532,0.0106249438801068,0.0276494989740788,0.0134255276262156,0.0314724166251717,0.0079083648864028,128-128-128,512,1000,292,9172.969549791072,5.063966386020184,9237.32709369203,NVIDIA A40
50,721,722,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4462900234902642,0.3008460866088519,0.2062136465015568,0.0737489737341753,0.0240567209677535,0.0079663579873957,0.0234885293965784,0.008929228653388,0.0292953131439518,0.0061218226539149,256-256-256,512,1000,326,10123.812705573044,5.888202118920162,10194.99877427204,NVIDIA A40
51,721,722,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.2536849992498412,0.2591518226220495,0.150709623827393,0.0995448035524688,0.0301568397526191,0.0102210151609466,0.0304543451070082,0.0130225306946222,0.0144542346100769,0.0058975389974024,128-128-128,512,1000,281,10868.356920549995,4.803555115009658,10945.416315899927,NVIDIA A40
52,721,722,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.36715415609102,0.2656883163588441,0.2037104015540536,0.0653438642151558,0.030638562930397,0.0100954909407324,0.0295448164551842,0.0148597147627528,0.039972845224862,0.008451063348233,256-256-256,512,1000,311,11717.420097052936,5.7416739870095626,11809.157076818054,NVIDIA A40
53,721,722,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.4150881093467269,0.2596758355624693,0.2246635730862672,0.0572535848573616,0.0280209250561058,0.0101630295962223,0.0277184426012825,0.0141201528103822,0.0223517669628457,0.0080742505418016,128-128-128,512,1000,271,17002.88061071292,5.92009137396235,17204.03391966701,NVIDIA A40
54,721,722,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.2145979331544705,0.2405391286746209,0.1270774644174422,0.1002940322912812,0.0354922853590343,0.0139967946209982,0.0346925377659686,0.0172546309878384,0.0264546888143876,0.0079386697320543,256-256-256,512,1000,311,19596.128568535903,4.76645258301869,19775.84478466795,NVIDIA A40
55,721,722,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4132358825246413,0.304385319301509,0.2044522483273008,0.081467999625608,0.0258473354351304,0.0101921387517027,0.0248154955821635,0.0110332081049071,0.0193982317339555,0.0045383486347229,128-128-128,512,1000,298,19706.446973882965,6.070356045966037,19915.501546787917,NVIDIA A40
56,721,722,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.3951871913518944,0.2615043612453935,0.1947171563302208,0.0805297984799849,0.0347711559526333,0.0103017817642231,0.0364221510168795,0.0139006100746931,0.0420402066616293,0.0098841541183552,256-256-256,512,1000,250,17146.964622695,6.314627249957994,17357.67870042601,NVIDIA A40
57,869,870,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4660429705857695,0.3335901589154024,0.1867787648169688,0.091102432363942,0.0203908926735935,0.0082124265469087,0.0205499934915,0.0098984090902184,0.0220620959031373,0.0096681783903189,128-128-128,512,1000,400,12297.942504029024,4.786579801002517,12362.777431486058,NVIDIA A40
58,869,870,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.3091411196695798,0.1940582344335245,0.1534150135323463,0.0890484125834882,0.0321051926777364,0.010330853546048,0.0322422401990186,0.0130977069886166,0.088991797331714,0.016808492214165,256-256-256,512,1000,376,11783.911086190958,4.505057679954916,11841.09548243496,NVIDIA A40
59,869,870,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3930564247251167,0.2871404516266855,0.1807844904483411,0.0875431840960581,0.0245524718141028,0.0077897003937354,0.0226252345117728,0.0096909773472781,0.0258711656006461,0.0072858482702947,128-128-128,512,1000,316,10597.08296756295,5.804382132017054,10663.974741362968,NVIDIA A40
