run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
44,0,1,8,100000,,10,RealNVPN,relu,8,-5,0,,0.02315254326601522,0.03998967074300626,0.02470554014209764,0.05976716511000129,0.08082003128194608,0.04308784043127773,0.08091582081262828,0.04951905195173655,0.13677018024688203,0.017342995418518203,256-256-256,256,1000,157,2057.2903383260127,6.6632797659840435,2090.111185584974,NVIDIA A40
45,187,188,8,100000,,5,RealNVPN,relu,8,-5,0,,0.14135810631127482,0.22310814885219424,0.07468872799243846,0.08585336011655159,0.03966425379378767,0.021044925162688483,0.03785850258837091,0.019402977858507094,0.07917167015330945,0.03228126322761096,128-128-128,256,1000,275,1991.5301901759813,6.241999300022144,2020.060416430002,NVIDIA A40
46,187,188,8,100000,,5,RealNVPN,relu,8,-5,0,,0.24288245931818345,0.24970282770291352,0.12860882233856374,0.10045078662324877,0.045845009973199916,0.02990768700500929,0.04559995097848883,0.025843718057229056,0.12553559900077021,0.023685666850867117,256-256-256,256,1000,244,1804.381415319047,6.354242670000531,1827.6929240580066,NVIDIA A40
47,187,188,8,100000,,10,RealNVPN,relu,8,-5,0,,0.29099379156459704,0.30490220980284855,0.1417042836458611,0.10185522486110447,0.036526584131922044,0.022208615404111953,0.0360523946585087,0.02158013018313259,0.07815356996905773,0.019085178572151286,128-128-128,256,1000,193,2489.4926767360303,6.761694032000378,2522.3860456260154,NVIDIA A40
48,187,188,8,100000,,10,RealNVPN,relu,8,-5,0,,0.23205727757753816,0.23376787249434391,0.11886755154383286,0.09401671050448138,0.04022758274929881,0.02308883841411258,0.04083877436965996,0.023237434997317036,0.1105745722907876,0.027241211852405606,256-256-256,256,1000,203,2630.9565798490075,6.781071686011273,2662.853757075034,NVIDIA A40
49,377,378,8,100000,,5,RealNVPN,relu,8,-5,0,,0.18621227968199117,0.24006944164169106,0.09994006828414945,0.09975452211166486,0.03624894527872116,0.0160046700413256,0.03661441311144826,0.016842894745699444,0.09486623769516828,0.013286543636521929,128-128-128,256,1000,257,1849.991360446962,5.563194652961101,1869.783587648999,NVIDIA A40
50,377,378,8,100000,,5,RealNVPN,relu,8,-5,0,,0.0715814041736608,0.12206531461349204,0.05305982186482794,0.0748381222246432,0.049727976641074624,0.021748078745059365,0.04717304959386712,0.023376376567032717,0.13895088525514193,0.030500598538569016,256-256-256,256,1000,278,2092.521136943018,5.651393353007734,2115.1644705159706,NVIDIA A40
51,377,378,8,100000,,10,RealNVPN,relu,8,-5,0,,0.160139919584968,0.203922449927132,0.09365553523173238,0.08966860930339764,0.0638694330587701,0.035784746005415626,0.06241152132186176,0.03516040413193399,0.09301905046001398,0.016437560361637963,128-128-128,256,1000,230,3005.048240447999,5.40180633001728,3032.80568189302,NVIDIA A40
52,377,378,8,100000,,10,RealNVPN,relu,8,-5,0,,0.32731237208866437,0.25399259633423527,0.16031140019439594,0.09876453563909988,0.03681997852005627,0.021542574486716832,0.03848915597829851,0.01842325453729146,0.055688005394205466,0.012116351764639944,256-256-256,256,1000,193,2556.1067480749916,6.6511256149969995,2591.83448181703,NVIDIA A40
53,440,441,8,100000,,5,RealNVPN,relu,8,-5,0,,0.07347737209946051,0.15219250840362836,0.05763580348850565,0.0708389717763423,0.06312146946294488,0.03570983295008277,0.05948651388422705,0.03718075040253346,0.0793546524899705,0.022686135174057164,128-128-128,256,1000,258,1916.6787244919688,6.342075187014416,1936.5354707009974,NVIDIA A40
54,440,441,8,100000,,5,RealNVPN,relu,8,-5,0,,0.26057717319730445,0.22085710114701,0.171638064564531,0.08391085623897554,0.03215963756264739,0.015434120041410631,0.032048327871322474,0.01573355914389768,0.06490778402082512,0.014495894618287406,256-256-256,256,1000,215,1567.1106508719968,6.451649221009575,1587.2728766800137,NVIDIA A40
55,440,441,8,100000,,10,RealNVPN,relu,8,-5,0,,0.10175179346539671,0.15898382683902784,0.06450464004288761,0.0881785539608145,0.05751541128840828,0.029252430965968485,0.057865852339889404,0.027212394939733098,0.1242299182726168,0.02319194675118013,128-128-128,256,1000,202,2672.327548269008,6.304098153952509,2701.3662622040138,NVIDIA A40
56,440,441,8,100000,,10,RealNVPN,relu,8,-5,0,,0.060085045584087414,0.09916908019900413,0.031374694220312006,0.055672202403090176,0.0655087155809537,0.03387429142105276,0.06591115233546163,0.03557321612239286,0.17295554469667224,0.019272270484281706,256-256-256,256,1000,159,2103.7177486200235,6.249345001007896,2139.3818939269986,NVIDIA A40
57,520,521,8,100000,,5,RealNVPN,relu,8,-5,0,,0.2733431986478745,0.24177341113617654,0.167026323283728,0.0888924771882035,0.03287633784117227,0.01830891267097245,0.03362889555256436,0.018172573585916382,0.06522349765990117,0.014447658336299043,128-128-128,256,1000,276,2054.0139741480234,6.222432848007884,2074.119620469981,NVIDIA A40
58,520,521,8,100000,,5,RealNVPN,relu,8,-5,0,,0.1655191975236845,0.22095883643597608,0.08943492834464081,0.09290757112030959,0.03904379003036752,0.021443686239051105,0.03842337966483694,0.020483053745860427,0.11168158143625546,0.01864018844782553,256-256-256,256,1000,184,1354.5120865660137,6.440228028979618,1376.0417519569746,NVIDIA A40
59,520,521,8,100000,,10,RealNVPN,relu,8,-5,0,,0.1618549220667697,0.2467746963113403,0.07031632837987957,0.0982540832627326,0.046343057005887235,0.02437860506089962,0.050189564108714314,0.02400575376162524,0.11555610408562111,0.009319423891171786,128-128-128,256,1000,206,2650.073469141964,6.268349751015194,2676.34629307501,NVIDIA A40
60,520,521,8,100000,,10,RealNVPN,relu,8,-5,0,,0.21198817480278417,0.25800926951868564,0.09434920764566422,0.10013052198807838,0.041119386396513025,0.025735798049656894,0.04217655334385243,0.02388199618790518,0.06119752469779377,0.01043005017005877,256-256-256,256,1000,189,2454.3156724660075,6.582881971960887,2490.7484262619982,NVIDIA A40
61,541,542,8,100000,,5,RealNVPN,relu,8,-5,0,,0.09813283999452298,0.14430187183588986,0.08755721179439757,0.08985662135580122,0.05465843307945688,0.026228904367880338,0.050641584167837116,0.029102710006974394,0.07371969439190607,0.013740646264594373,128-128-128,256,1000,246,1847.09349208005,6.7073768099653535,1869.7369223990245,NVIDIA A40
62,541,542,8,100000,,5,RealNVPN,relu,8,-5,0,,0.1678253523735289,0.2275746392500066,0.12459925553782321,0.0945881596316213,0.03127351135347541,0.014829920818360601,0.03335606064101327,0.016256383458586425,0.10223226899150287,0.025775317613898258,256-256-256,256,1000,267,1976.8307842339855,5.379698401025962,1997.824984248029,NVIDIA A40
63,541,542,8,100000,,10,RealNVPN,relu,8,-5,0,,0.10489655507889481,0.16394472464509444,0.08562473051621977,0.08856593400360972,0.043844256445353745,0.02477417911627054,0.044090341420227525,0.026476394385956906,0.07097827760510048,0.019842186898214546,128-128-128,256,1000,228,3042.68729226297,6.487830216996372,3070.7591265329975,NVIDIA A40
64,541,542,8,100000,,10,RealNVPN,relu,8,-5,0,,0.057978649730743535,0.11974614221093581,0.03667645093862211,0.0723389838220055,0.07114234961645924,0.0367168678615474,0.06546944766770921,0.03419319895389898,0.10579270782322252,0.02323868696884842,256-256-256,256,1000,151,1993.6809348759707,6.253894129011314,2030.7649062860291,NVIDIA A40
65,721,722,8,100000,,5,RealNVPN,relu,8,-5,0,,0.3340690854530276,0.2879628366094596,0.17682270116838444,0.10386128293559614,0.03066694961140335,0.014558690054314928,0.03175095647160974,0.014467842279910713,0.0901378862885031,0.00944270310697217,128-128-128,256,1000,273,2072.9231589970295,6.946110619988758,2096.2738161419984,NVIDIA A40
66,721,722,8,100000,,5,RealNVPN,relu,8,-5,0,,0.30734901222131755,0.2980284216062727,0.17893622322596509,0.08950069824072274,0.03052936462865054,0.018316636596117188,0.030248198160276903,0.01655250383876419,0.05555480018738159,0.01433807751051237,256-256-256,256,1000,248,1845.8143279809738,6.243119457038119,1866.2596242720028,NVIDIA A40
67,721,722,8,100000,,10,RealNVPN,relu,8,-5,0,,0.32257401727981405,0.3163517392851572,0.1426273261781706,0.10774552354340336,0.028292451217308067,0.01607706084084279,0.031199794648160827,0.014956994800570032,0.07766327675482668,0.008218182732671303,128-128-128,256,1000,220,2894.849741529033,6.567400139989331,2924.089567254996,NVIDIA A40
68,721,722,8,100000,,10,RealNVPN,relu,8,-5,0,,0.10081770239694773,0.20921458758391331,0.04569201361867463,0.07682254196148322,0.04656097651916302,0.02475828833627687,0.047470985226224525,0.0224462711326579,0.12218339620048144,0.01655149580068606,256-256-256,256,1000,150,2021.9918792550452,6.046431566996034,2052.320555237995,NVIDIA A40
